,source,location,text,detective,category,label
32,Viral image,"stated on October 12, 2020 in a Facebook post:",“CDC just cancelled Halloween for kids.”,"By Ciara O'Rourke • October 13, 2020",false,3
33,Facebook posts,"stated on October 12, 2020 in a Facebook post:","A CDC report found that “people who wear masks, are actually ‘collecting’ the virus in their masks.”","By Noah Y. Kim • October 13, 2020",pants-fire,3
34,National Republican Congressional Committee,"stated on September 22, 2020 in a campaign ad:","Says “Lucy McBath voted to release criminals from prison. Murderers, rapists.”","By Noah Y. Kim • October 12, 2020",false,3
35,Viral image,"stated on October 9, 2020 in a Facebook post:","Says Kamala Harris said, “The American people aren’t equipped to make these decisions for themselves.”","By Ciara O'Rourke • October 12, 2020",false,3
36,Joe Biden,"stated on September 21, 2020 in Speech:","“All the billionaires in America, their net worth combined … has increased by $800 billion” during the pandemic.","By Nusaiba Mizan • October 12, 2020",mostly-true,1
37,Donald Trump,"stated on October 10, 2020 in a campaign ad:","Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”","By Bill McCarthy • October 11, 2020",barely-true,2
38,Viral image,"stated on October 8, 2020 in a Facebook post:",Twitter removed this tweet from Donald Trump: “My blood IS the vaccine!!!!!”,"By Ciara O'Rourke • October 9, 2020",pants-fire,3
39,John James,"stated on September 27, 2020 in a television ad:",Says Sen. Gary Peters “downplayed the pandemic” and “failed to act.”,"By Clara Hendrickson • October 8, 2020",false,3
40,Donald Trump,"stated on October 7, 2020 in a tweet:","""Dems want to shut your churches down, permanently. Hope you see what is happening.""","By Daniel Funke • October 7, 2020",pants-fire,3
41,Facebook posts,"stated on September 27, 2020 in a Facebook post:","“South Dakota, Idaho, Florida, Tennessee & Georgia are now mask FREE!”","By Samantha Putterman • October 7, 2020",barely-true,2
42,Viral image,"stated on October 7, 2020 in a Facebook post:",“Chris Christie is in ICU and reported to be put on a ventilator.”,"By Ciara O'Rourke • October 7, 2020",false,3
43,Facebook posts,"stated on October 4, 2020 in a Facebook post:",“Wisconsin Republicans have not passed a single bill in 6 months.”,"By Eric Litke • October 7, 2020",true,0
44,Viral image,"stated on October 6, 2020 in a Facebook post:","Says Donald Trump said, “The doctors said they’ve never seen a body kill the coronavirus like my body. They tested my DNA and it wasn’t DNA. It was USA.”","By Ciara O'Rourke • October 7, 2020",pants-fire,3
45,Donald Trump,"stated on October 6, 2020 in a tweet:","“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""","By Jon Greenberg • October 6, 2020",false,3
46,Mike Parson,"stated on August 18, 2020 in a press conference:",“All Missouri’s high-risk areas have mask mandates in place.”,"By William Skipworth • October 6, 2020",false,3
47,Bloggers,"stated on September 16, 2020 in a Facebook post:",“The government has released their initial plans to force a vaccine on everyone.”,"By Ciara O'Rourke • October 6, 2020",false,3
48,Facebook posts,"stated on October 3, 2020 in a Facebook post:",“Bikers show up to The Walter Reed Hospital to pray for President Trump.”,"By Ciara O'Rourke • October 5, 2020",false,3
49,Alex Jones,"stated on October 3, 2020 in a Facebook post:",“President Trump is in great danger. Evidence is mounting that he’s being deliberately killed at Walter Reed Military Hospital.”,"By Ciara O'Rourke • October 5, 2020",pants-fire,3
50,Facebook posts,"stated on October 2, 2020 in a series of images:","Says Donald Trump is not at Walter Reed National Military Medical Center, “he is on AF1.”","By Daniel Funke • October 4, 2020",pants-fire,3
51,Facebook posts,"stated on October 3, 2020 in a series of images:","Says Donald Trump boarded Marine One ""with a portable oxygen concentrator in his pocket with the nasal cannula going up his back, hidden in his hair and tucked under his mask.""","By Daniel Funke • October 4, 2020",false,3
52,DeAnna Lorraine,"stated on October 2, 2020 in a tweet:",“No prominent Democrats have had the virus but the list of Republicans goes on and on.”,"By Daniel Funke • October 2, 2020",false,3
53,Facebook posts,"stated on October 2, 2020 in a Facebook post:",Two “Doomsday Planes” took flight because of President Donald Trump’s COVID-19 diagnosis.,"By Ciara O'Rourke • October 2, 2020",false,3
54,Tweets,"stated on October 2, 2020 in a screenshot:",Says Donald Trump’s reelection campaign emailed supporters to “donate to help him recover from” COVID-19.,"By Daniel Funke • October 2, 2020",pants-fire,3
55,Facebook posts,"stated on October 2, 2020 in a Facebook post:",An episode of “The Simpsons” showed Donald Trump in a coffin.,"By Miriam Valverde • October 2, 2020",pants-fire,3
56,Joe Biden,"stated on September 21, 2020 in a speech:",Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”,"By Eric Litke • October 2, 2020",half-true,1
57,Joe Biden,"stated on September 21, 2020 in a speech:","“If you just count all the deaths in the red states, we are number two in the world in deaths, just behind Brazil.”","By Madeline Heim • October 1, 2020",mostly-true,1
58,Donald Trump,"stated on September 24, 2020 in an executive order:","“For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment.”","By Julie Appleby • October 1, 2020",mostly-true,1
59,MacIver Institute,"stated on September 23, 2020 in an online article:",“Bad math (is) driving Wisconsin’s exploding positive test rate.”,"By Eric Litke • September 29, 2020",pants-fire,3
60,Viral image,"stated on September 26, 2020 in a Facebook post:",A letter from Mississippi Gov. Tate Reeves says that at “the beginning of October 2020 the statewide mask requirements will be abolished.”,"By Ciara O'Rourke • September 28, 2020",false,3
61,Richard Durbin,"stated on August 23, 2020 in a radio interview:","""We have a worse economy than any other country in the world that's going through COVID-19 by a factor of three.""","By Deborah Wilber • September 27, 2020",false,3
62,Chris Larson,"stated on September 23, 2020 in a tweet:",“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,"By Eric Litke • September 25, 2020",true,0
63,Kamala Harris,"stated on September 22, 2020 in a TV interview:",“Only one” Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program,"By Clara Hendrickson • September 24, 2020",barely-true,2
64,Viral image,"stated on September 19, 2020 in a Facebook post:",“Guess who is the marketing CEO of Zoom? Pelosi’s daughter/Newsome’s cousin.”,"By Ciara O'Rourke • September 23, 2020",false,3
65,William Barr,"stated on September 16, 2020 in a speech at a Hillsdale College event:","“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""","By Jon Greenberg • September 22, 2020",false,3
66,Joe Biden,"stated on September 17, 2020 in a CNN town hall:","""If the president had done his job, had done his job from the beginning, all the people would still be alive. All the people. I'm not making this up. Just look at the data.""","By Bill McCarthy • September 18, 2020",false,3
67,Democratic Congressional Campaign Committee,"stated on September 8, 2020 in an ad:","Says that to help people in need during the coronavirus pandemic, Mike Garcia said: ""Everyone should have to figure out how to fend for themselves.""","By Tom Kertscher • September 18, 2020",barely-true,2
68,YouTube videos,"stated on July 2, 2020 in a YouTube video:",“Bill Gates says you don't have a choice to be vaccinated or not.”,"By Noah Y. Kim • September 18, 2020",false,3
69,Instagram posts,"stated on September 17, 2020 in an Instagram post:",“CDC Director Robert Redfield says healthy people should NOT wear masks.”,"By Ciara O'Rourke • September 18, 2020",false,3
70,Caleb Rowden,"stated on September 4, 2020 in a post on Medium:","“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”","By Paul Schloesser • September 18, 2020",true,0
71,Facebook posts,"stated on September 7, 2020 in a Facebook post:",“Nobody is found dead of corona in their homes.. They all die at the hospital.”,"By Ciara O'Rourke • September 18, 2020",false,3
72,Li-Meng Yan,"stated on September 15, 2020 in an interview on “Tucker Carlson Tonight”:","“This virus, COVID-19 SARS-CoV-2 virus, actually is not from nature. It is a man-made virus created in the lab.”","By Daniel Funke • September 16, 2020",pants-fire,3
73,Mun Choi,"stated on August 28, 2020 in a press conference:",“The number of ICU beds is larger in Boone County by a factor of three” compared to Orange County for the University of North Carolina.,"By Simone Esters • September 16, 2020",false,3
74,Tony Evers,"stated on September 15, 2020 in a media briefing:",“Wisconsin is one of the nine states with the highest rate of infection per capita.”,"By Eric Litke • September 16, 2020",mostly-true,1
75,Dan Forest,"stated on September 2, 2020 in an interview:","""All evidence points to the fact that our kids are 17 times more likely to have ill effects from the seasonal flu than they are from the coronavirus.”","By Paul Specht • September 14, 2020",barely-true,2
76,Facebook posts,"stated on September 5, 2020 in a Facebook post:",“Kroger Corporate says employees can not wear flag masks but they can wear BLM masks!”,"By Ciara O'Rourke • September 14, 2020",false,3
77,Viral image,"stated on September 10, 2020 in a Facebook post:",Says Joe Biden and Gretchen Whitmer were maskless at the Detroit Athletic Club “while OUR children are being mandated to wear a mask while playing outdoor sports.”,"By Ciara O'Rourke • September 11, 2020",false,3
78,Facebook posts,"stated on September 9, 2020 in a post:","“Canada has just criminalized all CV19 measures requiring masks, distancing, quarantining & vaccines.”","By Madison Czopek • September 11, 2020",false,3
79,Instagram posts,"stated on September 9, 2020 in an Instagram post:",“CDC announces that students may be kept from parents overnight as Ohio sets up COVID-19 FEMA camps.”,"By Ciara O'Rourke • September 10, 2020",pants-fire,3
80,Joe Biden,"stated on September 9, 2020 in a speech in Warren, Mich.:","“Military COVID infected: 118,984. Military COVID deaths: 6,114.”","By Louis Jacobson • September 10, 2020",false,3
81,Facebook posts,"stated on August 28, 2020 in a Facebook post:",Olive Garden employees are allowed to wear Black Lives Matter masks “but NOT the American flag.”,"By Ciara O'Rourke • September 10, 2020",false,3
82,Facebook posts,"stated on September 8, 2020 in a Facebook post:",“The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website. It was never a pandemic.”,"By Madison Czopek • September 10, 2020",pants-fire,3
83,Facebook posts,"stated on September 8, 2020 in a photo:",Countries were exporting COVID-19 “diagnostic test instruments” in 2018.,"By Daniel Funke • September 10, 2020",false,3
84,Donald Trump,"stated on September 7, 2020 in a press conference:","""Under Operation Warp Speed, we’ve pioneered groundbreaking therapies, reducing the fatality rate 85% since April.”","By Louis Jacobson • September 9, 2020",half-true,1
85,Kayleigh McEnany,"stated on September 9, 2020 in a White House press briefing:",Says President Donald Trump “never downplayed the virus.”,"By Jon Greenberg • September 9, 2020",pants-fire,3
86,Viral image,"stated on September 4, 2020 in a Facebook post:",“Not one politician has died from the virus.”,"By Ciara O'Rourke • September 9, 2020",false,3
87,Ron Johnson,"stated on August 13, 2020 in radio interview:","For younger people, seasonal flu is “in many cases” a deadlier virus than COVID-19","By Madeline Heim • September 8, 2020",mostly-true,1
88,Viral image,"stated on August 31, 2020 in a Facebook post:",“Covid-19 is NOT killing people. Weak immune systems and bad doctors are.”,"By Ciara O'Rourke • September 4, 2020",false,3
89,Joe Biden,"stated on September 2, 2020 in a speech in Wilmington, Del.:",Says he was the first person to call for invoking the Defense Production Act.,"By Louis Jacobson • September 4, 2020",false,3
90,Donald Trump,"stated on September 1, 2020 in a Fox News interview:",“Only 6% of the people actually died from COVID.” The others “died from other reasons.”,"By Daniel Funke • September 3, 2020",pants-fire,3
91,Roy Cooper,"stated on August 13, 2020 in a press conference:","“In some of these other states, some of their deaths can be attributable to the fact that they were having a hard time getting an ICU bed or a ventilator to a patient.”","By Paul Specht • September 3, 2020",barely-true,2
92,Viral image,"stated on August 27, 2020 in a Facebook post:",“Covid-19 means ‘certificate of identification of vaccination with artificial intelligence.’”,"By Ciara O'Rourke • September 2, 2020",pants-fire,3
93,Joe Biden,"stated on August 31, 2020 in a speech in Pittsburgh:",“More cops have died from COVID this year than have been killed on patrol.”,"By Jon Greenberg • September 2, 2020",mostly-true,1
94,Facebook posts,"stated on August 31, 2020 in images:","The CDC “adjusted the US Covid deaths from 153,504 to 9,210.”","By Daniel Funke • August 31, 2020",pants-fire,3
95,Doug Jones,"stated on August 10, 2020 in an interview:","In April, when asked how he would handle the COVID-19 pandemic, Tommy Tuberville ""said he didn't have a clue"" and after winning the Republican nomination in July, ""he still said he didn't have a clue.""","By Tom Kertscher • August 27, 2020",mostly-true,1
96,Mike Pence,"stated on August 26, 2020 in his speech at the Republican National Convention:",“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”,"By Jon Greenberg • August 27, 2020",barely-true,2
97,Michael Caputo,"stated on August 17, 2020 in a tweet:",“Does the #DemConvention know @NYGovCuomo forced nursing homes across NY to take in COVID positive patients and planted the seeds of infection that killed thousands of grandmothers and grandfathers?”,"By Michelle Andrews • August 24, 2020",barely-true,2
98,Chris Murphy,"stated on August 18, 2020 in a tweet:",“At UNC 14% of students tested positive.”,"By Paul Specht • August 20, 2020",barely-true,2
99,Ron DeSantis,"stated on August 10, 2020 in during a televised roundtable discussion on education:","“The fact is that in terms of the risk to schoolkids, this is lower risk than seasonal influenza.”","By Phil Galewitz • August 20, 2020",mostly-true,1
100,Tommy Tuberville,"stated on August 17, 2020 in an interview:","Amid COVID-19, 25 of the 26 Republican governors ""have decided to play football,"" but ""three-fourths"" of the 24 Democratic governors ""have decided not to play already and most will probably not play.”","By Tom Kertscher • August 19, 2020",false,3
101,Carol Miller,"stated on July 30, 2020 in a tweet:","“In West Virginia alone, overdoses have increased by 50% during the #COVID-19 pandemic.”","By Patrick Orsagos • August 19, 2020",mostly-true,1
102,Bill Clinton,"stated on August 18, 2020 in a Democratic convention speech:",The United States is “the only major industrial economy to have its unemployment rate triple” since the coronavirus pandemic began.,"By Louis Jacobson • August 18, 2020",mostly-true,1
103,Donald Trump,"stated on August 17, 2020 in a speech:","The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.""","By Bill McCarthy • August 18, 2020",false,3
104,Donald Trump,"stated on August 17, 2020 in a campaign rally speech in Wisconsin:","""Our (COVID-19) numbers are better than almost all countries.""","By Jon Greenberg • August 18, 2020",false,3
105,Facebook posts,"stated on August 14, 2020 in a post on Facebook:","“As of the last 24 hours this is the protocol regarding masks: Masks should only be used by healthcare workers, caretakers or by people who are sick with symptoms like fever and cough.”","By Aaron Sharockman • August 18, 2020",false,3
106,Susan Collins,"stated on August 1, 2020 in a campaign ad:",Says Sara Gideon’s husband’s law firm “took up to $2 million” from the same federal program she “falsely” attacked Susan Collins over.,"By Tom Kertscher • August 14, 2020",half-true,1
107,Facebook posts,"stated on August 11, 2020 in Facebook post:",Says Kamala Harris wants to eliminate beef.,"By Sophie Austin • August 14, 2020",false,3
108,Facebook posts,"stated on August 2, 2020 in a post on Facebook:","Says Anthony Fauci, Bill Gates, George Soros and Jeffrey Epstein are connected with Moderna, Inc., and its efforts to create the coronavirus vaccine.","By Patrick Orsagos • August 13, 2020",pants-fire,3
109,Paul Sperry,"stated on August 12, 2020 in a tweet:",“DEVELOPING: Kamala’s sister takes hydroxychloroquine.”,"By Ciara O'Rourke • August 13, 2020",half-true,1
110,Cory Booker,"stated on July 30, 2020 in an interview:",Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,"By Jessica Calefati • August 13, 2020",true,0
111,Facebook posts,"stated on August 5, 2020 in a post on Facebook:",Says series of 11 photos are “from the 1918 flu pandemic.”,"By Madison Czopek • August 12, 2020",barely-true,2
112,Joe Biden,"stated on August 6, 2020 in an interview with journalism associations:","“If the vaccine came out tomorrow, how in the heck would we get it to people? There is no game plan.”","By Amy Sherman • August 11, 2020",mostly-true,1
113,Facebook posts,"stated on August 8, 2020 in a Facebook post:",President Donald Trump “put a hold on ALL EVICTIONS through December.”,"By Louis Jacobson • August 10, 2020",false,3
114,Allen West,"stated on July 27, 2020 in an interview:",Says the coronavirus has a “99.9% recovery rate” in Texas.,"By Madlin Mekelburg • August 10, 2020",false,3
115,Facebook posts,"stated on August 4, 2020 in a Facebook post:",“Herd immunity has been reached.”,"By Ciara O'Rourke • August 7, 2020",false,3
116,Bryan Steil,"stated on July 30, 2020 in a tweet:",“3.8% of Wisconsin’s coronavirus funding has been spent.”,"By Haley BeMiller • August 7, 2020",half-true,1
117,Viral image,"stated on August 5, 2020 in a Facebook post:",Photo shows Bill Clinton among others not wearing a mask at John Lewis’ funeral.,"By Ciara O'Rourke • August 7, 2020",false,3
118,Martha McSally,"stated on July 31, 2020 in a tweet:","“Mark Kelly criticized the (Paycheck Protection Program), then turned around and took money for his own multi-million dollar company.”","By Miriam Valverde • August 6, 2020",barely-true,2
119,Donald Trump,"stated on August 5, 2020 in a Fox and Friends interview:",Children are “almost immune from this disease.”,"By Amy Sherman • August 6, 2020",false,3
120,Mandy Cohen,"stated on July 28, 2020 in a press conference:",There’s a “direct correlation” between North Carolina’s mask requirement and COVID-19 stabilization.,"By Paul Specht • August 5, 2020",mostly-true,1
121,Brett Giroir,"stated on August 2, 2020 in an interview on NBC's Meet the Press:","“There have been five randomized controlled, placebo controlled trials that do not show any benefit to hydroxychloroquine.”","By Jon Greenberg • August 5, 2020",mostly-true,1
122,Facebook posts,"stated on July 31, 2020 in a Facebook post:",“At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.”,"By Ciara O'Rourke • August 5, 2020",false,3
123,Brett Giroir,"stated on July 26, 2020 in an appearance on CNN’s “State of the Union”:",“Five veterinary labs have their CLIA certification to officially test human patients. There are a lot of labs who are doing surveillance testing that don't need the CLIA certification.”,"By Julie Appleby • August 4, 2020",mostly-true,1
124,Viral image,"stated on August 2, 2020 in a Facebook post:","Says Bill Gates said, “We need to develop a digital certificate that shows who has received all the vaccinations. Only those with all the required vaccinations may travel, visit churches, participate in sports and music events, get a job, etc.”","By Ciara O'Rourke • August 4, 2020",false,3
125,Viral image,"stated on August 2, 2020 in a Facebook post:",A photo shows a large crowd in Berlin protesting the “covid hoax.”,"By Samantha Putterman • August 3, 2020",false,3
126,Charles Schumer,"stated on July 28, 2020 in an MSNBC interview:","“You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.”","By Miriam Valverde • August 3, 2020",barely-true,2
127,Facebook posts,"stated on July 23, 2020 in a Facebook post:",A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”,"By Tom Kertscher • July 31, 2020",false,3
128,Facebook posts,"stated on July 30, 2020 in a Facebook post:","Says Herman Cain died of cancer, not COVID-19.","By Ciara O'Rourke • July 31, 2020",false,3
129,Facebook posts,"stated on July 26, 2020 in a Facebook post:","“Mississippi got 10,145 warrants for unemployment fraud!!”","By Bill McCarthy • July 31, 2020",barely-true,2
130,Facebook posts,"stated on July 26, 2020 in a Facebook post:",“Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people.,"By Tom Kertscher • July 31, 2020",barely-true,2
131,Viral image,"stated on July 29, 2020 in a tweet:",Says Donald Trump was caught on a hot mic insulting his supporters.,"By Ciara O'Rourke • July 31, 2020",pants-fire,3
132,Viral image,"stated on July 12, 2020 in a Facebook post:",A common cold can cause a positive COVID-19 test.,"By Ciara O'Rourke • July 31, 2020",false,3
133,Wisconsin state Senate Democrats,"stated on July 24, 2020 in a news release:","Say Wisconsin Republican lawmakers have done nothing ""while neighboring states like Minnesota, Illinois and Michigan have already implemented safety precautions like requiring individuals to wear masks.""","By Haley BeMiller • July 31, 2020",mostly-true,1
134,Van Wanggaard,"stated on July 30, 2020 in a news release:","Says he opposes statewide mask order because it would require him to “wear a mask in my house, or walking my dog.”","By Eric Litke • July 30, 2020",false,3
135,Michael Schraa,"stated on July 24, 2020 in an interview:",Says wearing masks has been “proven ineffective.”,"By Madeline Heim • July 30, 2020",false,3
136,Facebook posts,"stated on July 28, 2020 in a Facebook post:","“If you have worked during the COVID-19 pandemic, the Department of Labor has finally authorized up to $4,800 in hazard pay for qualified essential workers.”","By Ciara O'Rourke • July 30, 2020",pants-fire,3
137,Facebook posts,"stated on July 18, 2020 in a Facebook post:",“American coronavirus vaccine killed five Ukrainians.”,"By Tom Kertscher • July 30, 2020",false,3
138,M.J. Hegar,"stated on July 22, 2020 in a speech:","Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”","By Madlin Mekelburg • July 30, 2020",true,0
139,Steve Nass,"stated on July 24, 2020 in a radio interview:",“Local governments are making these (COVID-19) decisions on inaccurate data because the negatives are not being entered … across the state of Wisconsin.”,"By Eric Litke • July 29, 2020",half-true,1
140,Facebook posts,"stated on July 27, 2020 in a Facebook post:",Says the NIH “15 years ago published a study on chloroquine. It is effective against COVID-(1).”,"By Samantha Putterman • July 29, 2020",false,3
141,Facebook posts,"stated on July 24, 2020 in social media posts:","Social media posts claim the U.S. Postal Service “says you should give mail in ballots at least 14 days roundtrip. So, if you plan to vote by mail, election day isn’t November 3. It’s October 20th.”","By Chris Nichols • July 28, 2020",half-true,1
142,Stella Immanuel,"stated on July 27, 2020 in a press conference:","“This virus has a cure. It is called hydroxychloroquine, zinc, and Zithromax. I know you people want to talk about a mask. Hello? You don’t need (a) mask. There is a cure.”","By Daniel Funke • July 28, 2020",false,3
143,Viral image,"stated on July 21, 2020 in a viral image:","The CDC said it “made a mistake” and reduced its count of Florida COVID-19 cases from 90,000 to 11,000.","By Tom Kertscher • July 27, 2020",false,3
144,West Virginia Democratic Party,"stated on July 10, 2020 in a tweet:","“Under the leadership of @WVGovernor Justice, West Virginia now has the highest rate of COVID-19 spread from person to person than any other state.”","By Patrick Orsagos • July 27, 2020",half-true,1
145,Sean Hannity,"stated on July 21, 2020 in an episode of his TV show:",The Trump administration has had “zero unfulfilled equipment and supply requests from state governors.”,"By Bill McCarthy • July 27, 2020",false,3
146,Majority Forward,"stated on July 24, 2020 in a television ad:",Says Sen. Thom Tillis “doesn’t think restaurant workers should have to wash their hands.”,"By Paul Specht • July 24, 2020",false,3
147,Facebook posts,"stated on July 17, 2020 in a Facebook post:","Quotes Anthony Fauci as writing, “I reject the notion that it’s ‘just a virus’ and we’ll all get it eventually. What a careless, lazy, heartless stance.”","By Ciara O'Rourke • July 24, 2020",false,3
