,Unnamed: 0,source,location,text,detective,category,label
43,351,Charles Schumer,"stated on May 18, 2017 in a Senate floor speech:","""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""","By Louis Jacobson • May 18, 2017",true,0
44,1343,Paul Sarlo,"stated on June 25, 2012 in a speech on the State Senate floor:","""The state's unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states.""","By Bill Wichert • June 27, 2012",true,0
45,924,Joaquin Castro,"stated on April 24, 2014 in an interview with the McAllen Monitor:","With only 67 bills or so passed into law, ""2013 was the least productive year in congressional history since we’ve been keeping record.""","By W. Gardner Selby • May 9, 2014",true,0
46,693,Carlos Curbelo,"stated on July 10, 2015 in a radio interview:",Says Bill and Hillary Clinton attended Donald Trump's last wedding.,"By Joshua Gillin • July 21, 2015",true,0
47,805,Amy Klobuchar,"stated on January 4, 2015 in comments on NBC's ""Meet the Press"":","""We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia.""","By Lauren Carroll • January 4, 2015",true,0
48,2171,Hillary Clinton,"stated on April 29, 2008 in South Bend, Ind.:","Every family health insurance policy has ""a $900 hidden tax"" to subsidize health care costs of the uninsured.","By Robert Farley • May 2, 2008",true,0
49,935,Chris Taylor,"stated on March 11, 2014 in a video:","""The Capitol rotunda was actually made to invite the people in and to accommodate protests.""","By James B. Nelson • April 14, 2014",true,0
50,1339,Ron Wyden,"stated on June 20, 2012 in in a news release :","""Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.""","By Charles Pope • June 29, 2012",true,0
51,2032,Citizens for Lower Taxes and a Stronger Economy,"stated on March 10, 2010 in an Internet ad.:","Because of a local version of Amendment 4, ""the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.""","By Aaron Sharockman • March 17, 2010",true,0
52,654,Glenn Hegar,"stated on September 10, 2015 in a speech in Georgetown, Texas:","""We have 650 people who move to Texas every day.""","By W. Gardner Selby • October 1, 2015",true,0
53,1940,Maurice Ferre,"stated on July 1, 2010 in an editorial meeting.:","Maurice Ferre says Kendrick Meek ""has voted 98.6 percent of the time with the Democrat party.""","By Trenton Daniel • July 21, 2010",true,0
54,262,Tina Smith,"stated on May 21, 2018 in a tweet:","""Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago.""","By Louis Jacobson • May 22, 2018",true,0
55,322,Roy Blunt,"stated on September 8, 2017 in a tweet:","""Nearly 2/3 of rural Missourians don’t have access to broadband. That needs to change.""","By Katelyn Brown • September 15, 2017",true,0
56,1522,Josh Mandel,"stated on November 14, 2011 in a radio show:","Sherrod Brown ""has been running for public office since Richard Nixon was president.""","By Peter Krouse • December 13, 2011",true,0
57,1513,Make Us Great Again,"stated on December 21, 2011 in a video ad:",Says Newt Gingrich aligned with Nancy Pelosi on global warming.,"By Molly Moorhead • December 23, 2011",true,0
58,1862,Barack Obama,"stated on October 27, 2010 in an interview on ""The Daily Show with Jon Stewart"":","""Most of the jobs that we lost were lost before the economic policies we put in place had any effect.""","By Martha M. Hamilton • October 28, 2010",true,0
59,186,E. Gordon Gee,"stated on January 14, 2019 in an op-ed:","West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""","By Erica Anderson • February 27, 2019",true,0
60,294,Donald Trump,"stated on January 30, 2018 in his State of the Union address:","""Small business confidence is at an all-time high.""","By Louis Jacobson • January 30, 2018",true,0
61,1263,Rick Perry,"stated on October 1, 2012 in a press conference.:",Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.,"By W. Gardner Selby • October 19, 2012",true,0
62,1227,John Kitzhaber,"stated on December 3, 2012 in a speech.:","Says that in 2011, Oregon had ""the second fastest growing economy in the nation.""","By Ian K. Kullgren • December 5, 2012",true,0
63,572,Hillary Clinton,"stated on March 22, 2016 in a speech at Stanford University.:","When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture.""","By C. Eugene Emery Jr. • March 30, 2016",true,0
64,59,Viral image,"stated on April 2, 2020 in a Facebook post:",Photo shows a crowded New York City subway train during stay-at-home order.,"By Samantha Putterman • April 7, 2020",true,0
65,224,Ann Wagner,"stated on August 27, 2018 in a tweet:","""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""","By Hannah Archambault • October 5, 2018",true,0
66,280,Greg Abbott,"stated on February 19, 2018 in a conference call with voters:",Says Texas ranks among the nation’s top five states for its high school graduation rate.,"By W. Gardner Selby • March 2, 2018",true,0
67,1668,Jon Huntsman,"stated on June 22, 2011 in an interview on ""Morning Joe."":","The U.S. is spending ""one out of every six Defense Department dollars on Afghanistan.""","By Angie Drobnic Holan • June 23, 2011",true,0
68,681,Hillary Clinton,"stated on July 31, 2015 in a speech to the National Urban League in Fort Lauderdale, Fla.:","""African-American children are 500 percent more likely to die from asthma than white kids.""","By Christian Belanger • August 11, 2015",true,0
69,2095,Michael Moore,"stated on September 23, 2009 in an interview on ""The Colbert Report"":","Goldman Sachs was Barack Obama's ""No. 1 private contributor.""","By Angie Drobnic Holan • September 25, 2009",true,0
70,165,Allen Thomas,"stated on April 9, 2019 in a candidate questionnaire:","""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""","By Bill McCarthy • April 23, 2019",true,0
71,965,Democratic Party of Wisconsin,"stated on January 22, 2014 in a news release:","""The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.""","By Dave Umhoefer • January 27, 2014",true,0
72,452,Tim Kaine,"stated on October 4, 2016 in the vice presidential debate:","Says Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""","By Jon Greenberg • October 5, 2016",true,0
73,41,Planned Parenthood,"stated on March 4, 2020 in news release:","""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”","By Madeline Heim • June 11, 2020",true,0
74,53,Facebook posts,"stated on March 18, 2020 in a Facebook post:","“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”","By Jessica Calefati • April 21, 2020",true,0
75,984,Carol Shea-Porter,"stated on December 10, 2013 in a press release:","""Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals"" in 2014.","By Kaitlin Mulhere • January 3, 2014",true,0
76,1360,Jim Webb,"stated on May 14, 2012 in an interview.:","President Obama budget request for veterans is ""more than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.""","By Sean Gorman • June 4, 2012",true,0
77,587,Bernie Sanders,"stated on February 23, 2016 in a campaign rally.:","""The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.""","By Sean Gorman • March 14, 2016",true,0
78,3,Robyn Vining,"stated on October 25, 2020 in an interview:",My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,"By Eric Litke • October 29, 2020",true,0
79,1015,Coalition for Fair Budget Priorities,"stated on September 25, 2013 in a website statement:",Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions,"By Dana Tims • November 8, 2013",true,0
80,878,Sarah Palin,"stated on August 17, 2014 in a commentary:","Texas prosecutor Rosemary Lehmberg purchased ""72 bottles of vodka in just one store alone, in just over a year.""","By W. Gardner Selby • August 21, 2014",true,0
81,1871,Russ Feingold,"stated on October 18, 2010 in a campaign rally:","Says Ron Johnson ""likes to say there are too many lawyers in the Senate – 57. He’d be the 70th millionaire.""","By Dave Umhoefer • October 22, 2010",true,0
82,1612,Sherrod Brown,"stated on August 4, 2011 in an appearance on MSNBC:","""Rooting for the Red Sox is like rooting for the drug companies.""","By Tom Feran • August 29, 2011",true,0
83,1875,Chris Coons,"stated on October 13, 2010 in a televised debate, disputing a claim by Republican Christine O'Donnell:",New Castle County's unemployment rate has not almost doubled in the last two years.,"By Louis Jacobson • October 14, 2010",true,0
84,1038,C.W. Bill Young,"stated on September 20, 2013 in a House address:","If the government shuts down, ""all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.""","By Julie Kliegman • September 24, 2013",true,0
85,71,Jane O’Meara Sanders,"stated on January 26, 2020 in a tweet:","""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""","By Kit Norton • February 20, 2020",true,0
86,1688,Tim Grendell,"stated on April 18, 2011 in a forum on the state budget:","""In Senate Bill 5, there is this new method of evaluating teachers. … You’re also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.""","By Joe Guillen • April 26, 2011",true,0
87,1600,Tom Graves,"stated on September 1, 2011 in an article:","""Two days of interest we pay to China is enough to buy one joint strike fighter [jet].""","By Eric Stirgus • September 9, 2011",true,0
88,697,Rachel Maddow,"stated on July 13, 2015 in a segment on her show:","Despite what Donald Trump claims, ""there weren’t 15,000 people who turned out in Phoenix"" to see Trump speak.","By Katie Sanders • July 15, 2015",true,0
89,625,Rand Paul,"stated on December 15, 2015 in a Republican presidential debate in Las Vegas:","""If you are going to kill the families of terrorists, realize that there's something called the Geneva Convention we're going to have to pull out of.""","By Louis Jacobson • December 17, 2015",true,0
90,2177,Hillary Clinton,"stated on April 15, 2008 in a TV ad airing in Pennsylvania.:","""Barack Obama accepted $200,000 from executives and employees of oil companies.""","By Bill Adair • April 17, 2008",true,0
91,1402,Tom Leppert,"stated on April 13, 2012 in a Republican US Senate debate at WFAA-TV, Channel 8, in Dallas.:",Says opponent Ted Cruz has not led businesses.,"By W. Gardner Selby • April 16, 2012",true,0
92,883,Edward Flynn,"stated on July 24, 2014 in a news conference:",The Milwaukee Police Department has seized nearly as many firearms this year as the much larger New York City Police Department.,"By James B. Nelson • August 17, 2014",true,0
93,1553,Steve LaTourette,"stated on November 4, 2011 in a speech in the House of Representatives:","""The problem with invasive species today in the Great Lakes isn’t ballast water.""","By Sabrina Eaton • November 9, 2011",true,0
94,1270,Brendan Doherty,"stated on October 9, 2012 in a news release:","""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""","By John Hill • October 15, 2012",true,0
95,1173,TriMet,"stated on January 29, 2013 in an advertisement:","Says ""MAX carries 30 percent of evening rush-hour commuters traveling from Downtown on the Sunset and Banfield freeways.""","By Ian K. Kullgren • February 5, 2013",true,0
96,1546,Sheldon Whitehouse,"stated on September 21, 2011 in a speech:","""The American healthcare system burns 18 percent of our national GDP. Nobody else is close.""","By Lynn Arditi • November 20, 2011",true,0
97,1036,Grover Fugate,"stated on August 23, 2013 in a TV interview:","If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped","By John Hill • September 28, 2013",true,0
98,570,Mark Pocan,"stated on April 7, 2016 in a blog post:","""More people are struck by lightning than commit in-person voter fraud"" by impersonation.","By Tom Kertscher • April 7, 2016",true,0
99,912,John Oliver,"stated on June 8, 2014 in a segment on ""Last Week Tonight"":","Brazil built a $300 million stadium in the Amazon rainforest that ""is only going to be used for four World Cup games,"" and there’s no team ""that can fill it afterwards.""","By Katie Sanders • June 11, 2014",true,0
100,23,Instagram posts,"stated on August 5, 2020 in a tweet:","""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""","By Haley BeMiller • August 6, 2020",true,0
101,213,Marc Molinaro,"stated on October 23, 2018 in a debate between candidates for governor in New York City:","On spending growth under Gov. Andrew Cuomo: ""Despite the fact that you continue to suggest that you’ve been able to hold the two percent, you haven’t.""","By Jill Terreri Ramos • October 26, 2018",true,0
102,968,Jason Carter,"stated on January 15, 2014 in a speech:","The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.","By Nancy Badertscher • January 23, 2014",true,0
103,1573,Rick Perry,"stated on October 11, 2011 in Republican presidential primary debate:","Says he ""came to the Republican Party sooner in age"" than Ronald Reagan.","By Molly Moorhead • October 11, 2011",true,0
104,2157,Howard Dean,"stated on August 24, 2008 in a TV interview:","Biden is ""one of the least wealthy members of the U.S. Senate.""","By Robert Farley • August 27, 2008",true,0
105,1281,Bob Corker,"stated on September 22, 2012 in in a press release.:","""We haven’t passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.""","By Michael Collins • September 28, 2012",true,0
106,432,Dan Patrick,"stated on October 17, 2016 in a press release titled “Lt. Governor Unveils Faith-Based Initiative on Foster Care Children,”:","""Several elected state officials have opened their homes to children in need of loving families.""","By Bobby Cervantes • October 28, 2016",true,0
107,2180,Hillary Clinton,"stated on April 16, 2008 in a television debate in Philadelphia.:","""Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.""","By Adriel Bettelheim • April 16, 2008",true,0
108,226,Tim Kaine,"stated on July 21, 2018 in a debate.:","""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""","By Warren Fiske • September 25, 2018",true,0
109,1836,Jamie Samons,"stated on November 17, 2010 in a Providence Journal story:","""We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.""","By Edward Fitzpatrick • November 28, 2010",true,0
110,162,E. Gordon Gee,"stated on March 19, 2019 in a speech:","""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""","By Al Bernardi • April 24, 2019",true,0
111,2091,Carl Levin,"stated on October 11, 2009 in an appearance on 'Meet the Press':","Other Western countries have ended their ""Don't Ask, Don't Tell"" policies.","By Catharine Richert • October 12, 2009",true,0
112,1419,Barack Obama,"stated on March 29, 2012 in a speech in the Rose Garden:","Last year, ""Exxon pocketed nearly $4.7 million every hour.""","By Becky Bowers • April 2, 2012",true,0
113,381,Rick Scott,"stated on March 7, 2017 in his State of the State speech:","""Florida is now the only state in the nation to tax commercial leases.""","By Allison Graves • March 8, 2017",true,0
114,1447,Laurie Monnes Anderson,"stated on February 24, 2012 in a Senate floor speech:","""In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.""","By Ian K. Kullgren • March 2, 2012",true,0
115,1098,Wisconsin Institute for Law & Liberty,"stated on June 4, 2013 in a web posting:","Says Madison Mayor Paul Soglin's stated intent when proposing that city contractors disclose private political donations was to ""discourage contributions to organizations with which he disagrees.""","By Dave Umhoefer • June 12, 2013",true,0
116,1910,Jerry Patterson,"stated on August 9, 2010 in a speech:",Says Barack Obama didn't keep his promise to have an immigration bill in his first year.,"By Ciara O'Rourke • August 21, 2010",true,0
117,1463,Kathleen Clyde,"stated on February 8, 2012 in an email:","""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""","By Tom Feran • February 20, 2012",true,0
118,1198,Kirk Watson,"stated on December 31, 2012 in an opinion piece in the Austin American-Statesman:","Says in ""our region,"" 2011 was worst drought year ever recorded.","By Sue Owen • January 15, 2013",true,0
119,311,Delaine Eastin,"stated on October 11, 2017 in an op-ed:","""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""","By Chris Nichols • October 27, 2017",true,0
120,1496,Dennis Kucinich,"stated on December 15, 2011 in a news release:","""The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American worker’s wage rose just 2 percent.""","By Peter Krouse • January 19, 2012",true,0
121,1515,Restore Our Future,"stated on December 14, 2011 in a video ad:","Newt Gingrich ""teamed with Nancy Pelosi and Al Gore on global warming.""","By Molly Moorhead • December 21, 2011",true,0
122,977,Joseph Cryan,"stated on December 19, 2013 in an Assembly session:","""What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.""","By Caryn Shinske • January 12, 2014",true,0
123,539,Greg Abbott,"stated on May 12, 2016 in a speech to the Republican Party of Texas convention in Dallas:","The 2015 Legislature ""passed the fewest laws in 20 years.""","By W. Gardner Selby • June 3, 2016",true,0
124,2161,John McCain,"stated on June 3, 2008 in a campaign e-mail:","""Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.""","By Adriel Bettelheim • June 4, 2008",true,0
125,1663,Women On the Wall,"stated on June 11, 2011 in a Texas Capitol rally.:",Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.,"By W. Gardner Selby • June 29, 2011",true,0
126,342,Derrick Crowe,"stated on June 3, 2017 in as quoted in an Austin American-Statesman news story:","Says each of the past three years ""has been the hottest on record.""","By W. Gardner Selby • June 15, 2017",true,0
127,602,Bernie Sanders,"stated on February 11, 2016 in comments during the PBS Democratic debate:","""The African-American community lost half of their wealth as a result of the Wall Street collapse.""","By Linda Qiu • February 11, 2016",true,0
128,1061,Bill Foster,"stated on August 14, 2013 in a mayoral forum:","""Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car.""","By Julie Kliegman • August 14, 2013",true,0
129,568,Mira Signer,"stated on April 28, 2016 in a conference.:","States with ""the highest gun ownership rates also have the highest suicide rates.""","By Warren Fiske • April 11, 2016",true,0
130,1299,Choose: New Jersey,"stated on July 30, 2012 in an advertisement in the Wall Street Journal:","""We have more scientists and engineers per square mile than anywhere in the world.""","By Caryn Shinske • September 6, 2012",true,0
131,1289,Phil Gingrey,"stated on September 7, 2012 in a Twitter post:","The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.","By Eric Stirgus • September 14, 2012",true,0
132,1076,Barack Obama,"stated on July 24, 2013 in a speech in Galesburg, Ill.:","""The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical family’s incomes barely budged.""","By Louis Jacobson • July 25, 2013",true,0
133,107,Joe Manchin,"stated on September 9, 2019 in a Facebook post:","""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""","By Alayna Degenhardt • October 11, 2019",true,0
134,1679,Rick Scott,"stated on June 2, 2011 in ABC News 27 interview:","""We already have $23 billion worth of debt.""","By Katie Sanders • June 13, 2011",true,0
135,688,John Oliver,"stated on July 19, 2015 in a segment on ""Last Week Tonight"":","""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""","By Will Cabaniss • July 27, 2015",true,0
136,218,VoteVets.org,"stated on October 12, 2018 in an ad:","Says Rick Scott’s ""hospital company stole millions, defrauding the military’s health care program.""","By Amy Sherman • October 23, 2018",true,0
137,161,West Virginia Republican Party,"stated on April 2, 2019 in a tweet:","""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""","By Stephanie Alvaro • April 24, 2019",true,0
138,484,Colorado Democratic Party,"stated on August 23, 2016 in a news release :","Says GOP U.S. Senate candidate Darryl Glenn ""wants to eliminate the Department of Education"" and jeopardize college funding for 320,000 Coloradans.","By Alan Gathright • August 31, 2016",true,0
139,369,Greta Van Susteren,"stated on April 4, 2017 in an episode of MSNBC's 'For the Record':","Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.","By Lauren Carroll • April 5, 2017",true,0
140,573,Jim Kenney,"stated on March 27, 2016 in Pennsylvania:","""Big soda has a lot of money. They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that we’re trying to cure.""","By Cassie Owens • March 30, 2016",true,0
141,748,Jeb Bush,"stated on April 14, 2015 in an interview with the Pittsburgh Tribune-Review:","""We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.""","By Louis Jacobson • April 16, 2015",true,0
142,1650,Marc Morial,"stated on July 17, 2011 in an interview on NBC's ""Meet the Press"":","""The black unemployment rate (has) increased since the recovery has begun.""","By Louis Jacobson • July 18, 2011",true,0
